treatment_family,contrast,comparison_profile,baseline_profile,metric,n_events,mean_delta,median_delta,positive_share,ci_low,ci_high,p_two_sided
T1,long_term_retail_minus_day_trader,long_term_retail,day_trader,hold_share,94,0.4574468085106383,0.5,0.776595744680851,0.39095744680851063,0.526595744680851,0.0
T1,investment_advisor_minus_prop_trading,investment_advisor,prop_trading,hold_share,94,0.324468085106383,0.25,0.7127659574468085,0.26861702127659576,0.3803191489361702,0.0
T1,day_trader_minus_long_term_retail,day_trader,long_term_retail,buy_share,94,0.2553191489361702,0.25,0.648936170212766,0.21010638297872342,0.30319148936170215,0.0
T1,prop_trading_minus_investment_advisor,prop_trading,investment_advisor,buy_share,94,0.19946808510638298,0.25,0.5638297872340425,0.1595744680851064,0.24468085106382978,0.0
T1,long_term_retail_minus_day_trader,long_term_retail,day_trader,evidence_count,94,1.949468085106383,1.75,0.925531914893617,1.702127659574468,2.1941489361702127,0.0
T1,investment_advisor_minus_prop_trading,investment_advisor,prop_trading,evidence_count,94,0.48936170212765956,0.375,0.5957446808510638,0.2712765957446808,0.7127659574468085,0.0
B0,long_term_retail_minus_day_trader,long_term_retail,day_trader,hold_share,94,0.45478723404255317,0.5,0.7872340425531915,0.39095744680851063,0.5212765957446809,0.0
B0,investment_advisor_minus_prop_trading,investment_advisor,prop_trading,hold_share,94,0.36436170212765956,0.25,0.6808510638297872,0.300531914893617,0.42819148936170215,0.0
B0,day_trader_minus_long_term_retail,day_trader,long_term_retail,buy_share,94,0.2553191489361702,0.25,0.6170212765957447,0.2074468085106383,0.30851063829787234,0.0
B0,prop_trading_minus_investment_advisor,prop_trading,investment_advisor,buy_share,94,0.26861702127659576,0.25,0.6063829787234043,0.2154255319148936,0.324468085106383,0.0
B0,long_term_retail_minus_day_trader,long_term_retail,day_trader,evidence_count,94,-0.005319148936170213,0.0,0.3723404255319149,-0.0851063829787234,0.07712765957446809,0.9306
B0,investment_advisor_minus_prop_trading,investment_advisor,prop_trading,evidence_count,94,0.10904255319148937,0.0,0.4574468085106383,0.023936170212765957,0.19946808510638298,0.0112
T2,long_term_retail_minus_day_trader,long_term_retail,day_trader,hold_share,94,0.7313829787234043,0.75,0.9893617021276596,0.692154255319149,0.769281914893617,0.0
T2,investment_advisor_minus_prop_trading,investment_advisor,prop_trading,hold_share,94,0.5811170212765957,0.625,0.9680851063829787,0.5339095744680851,0.6283244680851063,0.0
T2,day_trader_minus_long_term_retail,day_trader,long_term_retail,buy_share,94,0.456781914893617,0.53125,0.9148936170212766,0.40492021276595747,0.5093085106382979,0.0
T2,prop_trading_minus_investment_advisor,prop_trading,investment_advisor,buy_share,94,0.4029255319148936,0.40625,0.925531914893617,0.3550531914893617,0.45146276595744683,0.0
T2,long_term_retail_minus_day_trader,long_term_retail,day_trader,evidence_count,94,2.289228723404255,2.125,0.9893617021276596,2.041223404255319,2.54921875,0.0
T2,investment_advisor_minus_prop_trading,investment_advisor,prop_trading,evidence_count,94,0.694813829787234,0.6875,0.7127659574468085,0.5139627659574468,0.8829787234042553,0.0
T3,long_term_retail_minus_day_trader,long_term_retail,day_trader,hold_share,94,0.7433510638297872,0.75,1.0,0.7047872340425532,0.7799202127659575,0.0
T3,investment_advisor_minus_prop_trading,investment_advisor,prop_trading,hold_share,94,0.5684840425531915,0.625,0.9574468085106383,0.5172872340425532,0.620345744680851,0.0
T3,day_trader_minus_long_term_retail,day_trader,long_term_retail,buy_share,94,0.46808510638297873,0.53125,0.9042553191489362,0.41555851063829785,0.5206117021276596,0.0
T3,prop_trading_minus_investment_advisor,prop_trading,investment_advisor,buy_share,94,0.39893617021276595,0.4375,0.9042553191489362,0.3497340425531915,0.45013297872340424,0.0
T3,long_term_retail_minus_day_trader,long_term_retail,day_trader,evidence_count,94,2.1363031914893615,1.9375,0.9680851063829787,1.8776429521276596,2.4022606382978724,0.0
T3,investment_advisor_minus_prop_trading,investment_advisor,prop_trading,evidence_count,94,0.71875,0.6875,0.7127659574468085,0.5053191489361702,0.9388297872340425,0.0
T4,long_term_retail_minus_day_trader,long_term_retail,day_trader,hold_share,94,0.6835106382978723,0.75,0.9680851063829787,0.6276595744680851,0.7393617021276596,0.0
T4,investment_advisor_minus_prop_trading,investment_advisor,prop_trading,hold_share,94,0.47606382978723405,0.5,0.8723404255319149,0.42021276595744683,0.5345744680851063,0.0
T4,day_trader_minus_long_term_retail,day_trader,long_term_retail,buy_share,94,0.4175531914893617,0.5,0.8723404255319149,0.3670212765957447,0.4734042553191489,0.0
T4,prop_trading_minus_investment_advisor,prop_trading,investment_advisor,buy_share,94,0.3377659574468085,0.25,0.776595744680851,0.2898936170212766,0.38563829787234044,0.0
T4,long_term_retail_minus_day_trader,long_term_retail,day_trader,evidence_count,94,0.18882978723404256,0.0,0.43617021276595747,-0.03723404255319149,0.42021276595744683,0.102
T4,investment_advisor_minus_prop_trading,investment_advisor,prop_trading,evidence_count,94,-0.3271276595744681,-0.25,0.26595744680851063,-0.5319148936170213,-0.12234042553191489,0.0018
