model_family,treatment_family,mean_pairwise_abs_diff_expected_return_5d,mean_pairwise_sentence_embedding_distance,source_id_diversity_one_minus_overlap,evidence_category_diversity_one_minus_overlap,entropy_buy_hold_sell,action_diversity_one_minus_hhi
claude-sonnet-4.5,T1,0.017363829787234004,0.2800194084408965,0.37543102238123977,0.17764268828098612,0.5271662629017261,0.23522458628841603
claude-sonnet-4.5,B0,0.016777304964538966,0.2864832128321664,0.9433451536643026,0.6928486997635934,0.6096192654975026,0.276595744680851
claude-sonnet-4.5,T2,0.021841312056737547,0.3011112014455908,0.3803110125725382,0.18515471968929414,0.8108569621643309,0.3752955082742317
claude-sonnet-4.5,T3,0.02354822695035457,0.32722050452177687,0.4805861961507548,0.22424983113812896,0.8275238673591716,0.3778073286052009
claude-sonnet-4.5,T4,0.015800709219858117,0.27943667813216433,0.9455555555555556,0.7416666666666667,0.7658629998333035,0.3587470449172577
deepseek-v3.1,T1,0.01036028368794322,0.3880503334188404,0.4380163699578593,0.213419452887538,0.4966517618485394,0.22281323877068557
deepseek-v3.1,B0,0.01036595744680846,0.4166936653857622,0.9350827423167849,0.679822695035461,0.5319195493928901,0.23522458628841603
deepseek-v3.1,T2,0.014748936170212727,0.43873342080954786,0.4790597003622986,0.2486786558595069,0.9276002515880354,0.4262706855791962
deepseek-v3.1,T3,0.014548226950354572,0.4760555028914496,0.5695827561679339,0.3012647754137116,0.9298840142117988,0.42346335697399523
deepseek-v3.1,T4,0.012682978723404206,0.38483692158488714,0.7952457923687586,0.5694444444444444,0.6593017039860755,0.2960992907801418
gpt-5.2,T1,0.005447517730496421,0.3029319057869716,0.37916801720092014,0.15915400202634242,0.6630571475673919,0.3114657210401891
gpt-5.2,B0,0.00382482269503542,0.3088767640420319,0.9401850828446573,0.6809202971968931,0.5971113152980467,0.27955082742316784
gpt-5.2,T2,0.006437765957446763,0.3107410053208629,0.3302518847795964,0.1555667426545086,0.7915304538045025,0.3751477541371158
gpt-5.2,T3,0.007966666666666624,0.34419343086930765,0.4496860095070407,0.20719858156028365,0.8386713155033452,0.3945035460992907
gpt-5.2,T4,0.005632624113475129,0.31828368974939597,0.9387554624256752,0.7060047281323877,0.7520092098898192,0.35638297872340424
qwen3-235b-a22b,T1,0.01961134751773045,0.30929899993138715,0.47693910799939,0.2161026680175616,0.14935087715624062,0.06796690307328605
qwen3-235b-a22b,B0,0.017840425531914846,0.33965274127798384,0.949312450748621,0.6943971631205674,0.2002727806993687,0.0892434988179669
qwen3-235b-a22b,T2,0.02020921985815599,0.36248146159351813,0.453870529491677,0.20863644039175952,0.30517237368526196,0.13682033096926713
qwen3-235b-a22b,T3,0.022980496453900667,0.38700304603678864,0.5558077530353331,0.2637434566024991,0.33413734618878427,0.14849290780141844
qwen3-235b-a22b,T4,0.018227659574468043,0.35285653094266284,0.867736227706256,0.6490881458966565,0.3998830962720059,0.17907801418439714
