event_id,canonical_units_total,bullet_chars,markdown_chars,char_reduction_pct,bullet_approx_tokens,markdown_approx_tokens,approx_token_reduction_pct
evt_0001,82,55848,44650,20.05,13962,11162,20.05
evt_0002,36,24073,19918,17.26,6018,4980,17.25
evt_0006,34,12704,8187,35.56,3176,2047,35.55
evt_0011,37,16028,11053,31.04,4007,2763,31.05
evt_0014,116,62255,43875,29.52,15564,10969,29.52
evt_0017,81,46866,35450,24.36,11716,8862,24.36
evt_0051,73,30574,19554,36.04,7644,4888,36.05
evt_0053,50,20953,13962,33.37,5238,3490,33.37
evt_0055,58,32469,23103,28.85,8117,5776,28.84
evt_0057,52,19997,12947,35.26,4999,3237,35.25
evt_0059,68,45641,36435,20.17,11410,9109,20.17
evt_0062,117,64819,46668,28.0,16205,11667,28.0
