contrast,metric,metric_name,metric_group,mean_delta,median_delta,positive_share,ci_low,ci_high,n_events,n_rows
T4_minus_T1,Source-use diversity,source_id_diversity_one_minus_overlap,source,0.469434630129209,0.4858190622228935,0.9787234042553191,0.4462704244865764,0.49213355720426916,94,1504
T4_minus_T1,Rationale distance,mean_pairwise_sentence_embedding_distance,rationale,0.013778293207753665,0.016537464205999188,0.6808510638297872,0.007151332579300483,0.02038980794975132,94,1504
T4_minus_T1,Belief MAD,mean_pairwise_abs_diff_expected_return_5d,belief,-0.000109751773049652,8.333333333336264e-05,0.5106382978723404,-0.0014303368794326297,0.0011883998226950249,94,1504
T4_minus_T1,Action entropy,entropy_buy_hold_sell,action,0.1852077401268266,0.16250560541208853,0.723404255319149,0.14090894291051845,0.2309337278727171,94,1504
T4_minus_T2,Source-use diversity,source_id_diversity_one_minus_overlap,source,0.4759499777125338,0.4920835326524181,0.9787234042553191,0.4528383373310337,0.4969424088132984,94,1504
T4_minus_T2,Rationale distance,mean_pairwise_sentence_embedding_distance,rationale,-0.019413317190102343,-0.01352083068940079,0.26595744680851063,-0.025687025819117606,-0.013042038458508088,94,1504
T4_minus_T2,Belief MAD,mean_pairwise_abs_diff_expected_return_5d,belief,-0.002723315602836876,-0.0024895833333333215,0.26595744680851063,-0.003931002881205667,-0.0015616976950354614,94,1504
T4_minus_T2,Action entropy,entropy_buy_hold_sell,action,-0.06452575781523158,-0.060670523394502934,0.35106382978723405,-0.10186859475432102,-0.025036148581523,94,1504
T3_minus_T2,Source-use diversity,source_id_diversity_one_minus_overlap,source,0.10304239691373808,0.09819555315685344,0.9787234042553191,0.092977218215988,0.11300562730199677,94,1504
T3_minus_T2,Rationale distance,mean_pairwise_sentence_embedding_distance,rationale,0.030351348787450733,0.030908954612585783,0.9787234042553191,0.027560956717178443,0.033035228539864174,94,1504
T3_minus_T2,Belief MAD,mean_pairwise_abs_diff_expected_return_5d,belief,0.001451595744680843,0.0011166666666666562,0.648936170212766,0.0008474213209219787,0.00207863585992907,94,1504
T3_minus_T2,Action entropy,entropy_buy_hold_sell,action,0.0237641255052423,0.013624593826801267,0.5531914893617021,0.006984969249457964,0.04005074889693842,94,1504
